"","ID","Gender","Sport","Continent","Country","Club","Classification_Specific","Classification_General","Classification_Class","Classification_Order","Classification_Family","Classification_Genus","Classification_Species","N_Species_In_Country","EX","EW","CR","EN","VU","NT","LC","DD","NE","Decreasing","Increasing","Stable","Unknown"
"496","ID_496","Men","Basketball","Americas","Brazil","Mogi das Cruzes Basquete","Leopardus pardalis","Species","Mammalia","Carnivora","Felidae","Leopardus","Leopardus pardalis",1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA
"497","ID_497","Men","Basketball","Americas","Colombia","Tigrillos Medellín","Leopardus pardalis","Species","Mammalia","Carnivora","Felidae","Leopardus","Leopardus pardalis",1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA
"506","ID_506","Women","Handball","Europe","Italy","Handball Club Cassa Rurale Pontinia","Loxodonta africana","Species","Mammalia","Proboscidea","Elephantidae","Loxodonta","Loxodonta africana",0,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA
"507","ID_507","Men","Football","Africa","Kenya","Tusker FC","Loxodonta africana","Species","Mammalia","Proboscidea","Elephantidae","Loxodonta","Loxodonta africana",1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA
"508","ID_508","Men","Football","Africa","Nigeria","Enyimba FC","Loxodonta africana","Species","Mammalia","Proboscidea","Elephantidae","Loxodonta","Loxodonta africana",1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA
"509","ID_509","Men","Football","Africa","Nigeria","Wikki Tourist FC","Loxodonta africana","Species","Mammalia","Proboscidea","Elephantidae","Loxodonta","Loxodonta africana",1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA
"510","ID_510","Men","Football","Europe","Poland","Bruk-Bet Termalica Nieciecza","Loxodonta africana","Species","Mammalia","Proboscidea","Elephantidae","Loxodonta","Loxodonta africana",0,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA
"511","ID_511","Men","Rugby XV","Africa","South Africa","Eastern Province Elephants","Loxodonta africana","Species","Mammalia","Proboscidea","Elephantidae","Loxodonta","Loxodonta africana",1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA
"512","ID_512","Men","Baseball","Americas","United States","Oakland Athletics","Loxodonta africana","Species","Mammalia","Proboscidea","Elephantidae","Loxodonta","Loxodonta africana",0,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA
"515","ID_515","Men","Football","Americas","Peru","Ayacucho F.C.","Lycalopex culpaeus","Species","Mammalia","Carnivora","Canidae","Lycalopex","Lycalopex culpaeus",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"516","ID_516","Women","Basketball","Oceania","Australia","Perth Lynx","Lynx lynx","Species","Mammalia","Carnivora","Felidae","Lynx","Lynx lynx",0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"517","ID_517","Women","Basketball","Europe","Germany","TK Hannover Luchse","Lynx lynx","Species","Mammalia","Carnivora","Felidae","Lynx","Lynx lynx",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"518","ID_518","Women","Basketball","Europe","Poland","MKS Pruszków","Lynx lynx","Species","Mammalia","Carnivora","Felidae","Lynx","Lynx lynx",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"519","ID_519","Women","Volleyball","Europe","Poland","KS Developres Rzeszów	","Lynx lynx","Species","Mammalia","Carnivora","Felidae","Lynx","Lynx lynx",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"520","ID_520","Men","Ice Hockey","Europe","Russian Federation","Severstal Cherepovets","Lynx lynx","Species","Mammalia","Carnivora","Felidae","Lynx","Lynx lynx",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"521","ID_521","Women","Basketball","Europe","Russian Federation","Nika","Lynx lynx","Species","Mammalia","Carnivora","Felidae","Lynx","Lynx lynx",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"522","ID_522","Women","Basketball","Asia","Turkey","Mersin Yenişehir Belediyesi Çukurova Basketbol SK","Lynx lynx","Species","Mammalia","Carnivora","Felidae","Lynx","Lynx lynx",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"523","ID_523","Women","Basketball","Americas","United States","Minnesota Lynx","Lynx lynx","Species","Mammalia","Carnivora","Felidae","Lynx","Lynx lynx",0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"527","ID_527","Women","Ice Hockey","Europe","Russian Federation","SKSO Yekaterinburg","Martes zibellina","Species","Mammalia","Carnivora","Mustelidae","Martes","Martes zibellina",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"528","ID_528","Men","Basketball","Americas","Canada","Brampton Honey Badgers","Mellivora capensis","Species","Mammalia","Carnivora","Mustelidae","Mellivora","Mellivora capensis",0,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA
"529","ID_529","Men","Football","Europe","France","FC Lorient","Merluccius merluccius","Species","Actinopterygii","Gadiformes","Merlucciidae","Merluccius","Merluccius merluccius",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1
"530","ID_530","Men","Football","Europe","France","Stade rennais FC","Mustela erminea","Species","Mammalia","Carnivora","Mustelidae","Mustela","Mustela erminea",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"531","ID_531","Men","Basketball","Oceania","Australia","Tasmania JackJumpers","Myrmecia pilosula","Species","Insecta","Hymenoptera","Formicidae","Myrmecia","Myrmecia pilosula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"532","ID_532","Men","Basketball","Americas","United States","Milwaukee Bucks","Odocoileus virginianus","Species","Mammalia","Artiodactyla","Cervidae","Odocoileus","Odocoileus virginianus",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"533","ID_533","Men","Ice Hockey","Americas","Canada","Vancouver Canucks","Orcinus orca","Species","Mammalia","Cetacea","Delphinidae","Orcinus","Orcinus orca",1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
"534","ID_534","Men","Football","Asia","Japan","Nagoya Grampus","Orcinus orca","Species","Mammalia","Cetacea","Delphinidae","Orcinus","Orcinus orca",1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
"535","ID_535","Men","Rugby XV","Americas","United States","Seattle Seawolves","Orcinus orca","Species","Mammalia","Cetacea","Delphinidae","Orcinus","Orcinus orca",1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
"538","ID_538","Men","Handball","Europe","France","Union sportive de Créteil handball","Ovis canadensis","Species","Mammalia","Artiodactyla","Bovidae","Ovis","Ovis canadensis",0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"539","ID_539","Men","Rugby XV","Asia","Japan","Black Rams Tokyo","Ovis canadensis","Species","Mammalia","Artiodactyla","Bovidae","Ovis","Ovis canadensis",0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"540","ID_540","Men","Rugby XV","Europe","Spain","Getxo Artea RT","Ovis canadensis","Species","Mammalia","Artiodactyla","Bovidae","Ovis","Ovis canadensis",0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"541","ID_541","Men","American Football","Americas","United States","Los Angeles Rams","Ovis canadensis","Species","Mammalia","Artiodactyla","Bovidae","Ovis","Ovis canadensis",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"543","ID_543","Men","Rugby XV","Europe","United Kingdom","Ospreys","Pandion haliaetus","Species","Aves","Accipitriformes","Pandionidae","Pandion","Pandion haliaetus",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"548","ID_548","Men","Football","Africa","Algeria","ASO Chlef","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"549","ID_549","Men","Football","Africa","Algeria","RC Relizane","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"550","ID_550","Men","Football","Africa","Algeria","USM Alger","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"551","ID_551","Men","Football","Africa","Angola","Sporting Clube Petróleos de Cabinda","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"552","ID_552","Men","Basketball","Americas","Argentina","Argentino de Junín","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"553","ID_553","Women","Basketball","Americas","Argentina","Ameghino","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"554","ID_554","Men","Football","Americas","Argentina","Club Estudiantes de la Plata","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"555","ID_555","Men","Football","Oceania","Australia","Brisbane Roar FC","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"556","ID_556","Men","Football","Americas","Brazil","Fortaleza Esporte Clube","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"557","ID_557","Men","Football","Americas","Brazil","Avaí FC","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"558","ID_558","Men","Basketball","Americas","Brazil","Rio Claro Basquete","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"559","ID_559","Men","American Football","Americas","Brazil","Remo Lions","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"560","ID_560","Women","Football","Americas","Brazil","Avaí Futebol Clube","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"561","ID_561","Men","Basketball","Americas","Canada","Niagara River Lions","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"562","ID_562","Men","Basketball","Americas","Chile","Colegio Los Leones de Quilpué","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"563","ID_563","Women","Football","Americas","Chile","Club Universidad de Chile","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"564","ID_564","Men","Football","Asia","China","Guangzhou City FC","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"565","ID_565","Men","Football","Asia","China","Cangzhou Mighty Lions FC","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"566","ID_566","Men","Football","Asia","China","Meizhou Hakka FC","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"567","ID_567","Men","Basketball","Asia","China","Guangzhou Loong Lions","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"568","ID_568","Men","Basketball","Asia","China","Zhejiang Lions","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"569","ID_569","Men","Baseball","Asia","China","Tianjin Lions","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"570","ID_570","Women","Football","Asia","China","Meizhou Hakka FC","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"571","ID_571","Men","Football","Americas","Colombia","Independiente Santa Fe","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"572","ID_572","Men","Basketball","Americas","Colombia","Guerreros de Bogotá","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"573","ID_573","Women","Football","Americas","Colombia","Independiente Santa Fe Femenino","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"574","ID_574","Men","Football","Americas","Ecuador","Cumbayá Fútbol Club","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"575","ID_575","Men","Football","Americas","Ecuador","CD Cuenca","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"576","ID_576","Men","Football","Americas","Ecuador","Guayaquil City FC","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"577","ID_577","Men","Football","Oceania","Fiji","Labasa FC","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"578","ID_578","Men","Football","Europe","France","Olympique Lyonnais","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"579","ID_579","Men","Basketball","Europe","France","Le Mans Sarthe Basket","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"580","ID_580","Men","Rugby XV","Europe","France","Union Bordeaux Bègles","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"581","ID_581","Men","Handball","Europe","France","Dunkerque Handball Grand Littoral","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"582","ID_582","Women","Handball","Europe","France","Paris 92","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"583","ID_583","Women","Handball","Europe","France","Handball Plan-de-Cuques","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"584","ID_584","Men","Football","Europe","Germany","Bayer 04 Leverkusen","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"585","ID_585","Men","Basketball","Europe","Germany","Basketball Löwen Braunschweig","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"586","ID_586","Men","Volleyball","Europe","Germany","SVG Lüneburg	","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"587","ID_587","Men","Handball","Europe","Germany","Bergischer Handball-Club 06 e.V.","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"588","ID_588","Men","Handball","Europe","Germany","TSV Hannover-Burgdorf","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"589","ID_589","Men","Handball","Europe","Germany","Rhein-Neckar Löwen","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"590","ID_590","Men","Ice Hockey","Europe","Germany","Düsseldorfer EG","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"591","ID_591","Men","Ice Hockey","Europe","Germany","Löwen Frankfurt","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"592","ID_592","Women","Football","Europe","Germany","Bayer 04 Leverkusen","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"593","ID_593","Women","Basketball","Europe","Germany","Gisa Lions MBC","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"594","ID_594","Women","Basketball","Europe","Germany","Rheinland Lions","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"595","ID_595","Men","Football","Africa","Ghana","Accra Lions FC","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"596","ID_596","Men","Volleyball","Asia","India","Chennai Blitz","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"597","ID_597","Men","Cricket","Asia","India","Chennai Super Kings","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"598","ID_598","Men","Cricket","Asia","India","Punjab Kings","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"599","ID_599","Men","Cricket","Asia","India","Rajasthan Royals","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"600","ID_600","Men","Cricket","Asia","India","Royal Challengers Bangalore","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"601","ID_601","Men","Cricket","Asia","India","Himachal Pradesh cricket team","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"602","ID_602","Men","Cricket","Asia","India","Mumbai cricket team","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"603","ID_603","Men","Cricket","Asia","India","Saurashtra cricket team","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"604","ID_604","Women","Cricket","Asia","India","Royal Challengers Bangalore","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"605","ID_605","Men","Football","Asia","Indonesia","Arema FC","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"606","ID_606","Men","Football","Asia","Iran, Islamic Republic of","Naft Masjed Soleyman F.C.","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"607","ID_607","Men","Football","Asia","Iran, Islamic Republic of","Sepahan SC","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"608","ID_608","Men","Football","Asia","Israel","Beitar Jerusalem FC","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"609","ID_609","Men","Football","Asia","Israel","Hapoel Ironi Kiryat Shmona F.C.","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"611","ID_611","Men","Football","Europe","Italy","Venezia FC","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"612","ID_612","Men","Basketball","Europe","Italy","Derthona Basket","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"613","ID_613","Men","Basketball","Europe","Italy","Pallacanestro Brescia","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"614","ID_614","Men","Basketball","Europe","Italy","Reyer Venezia","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"615","ID_615","Men","Volleyball","Europe","Italy","Emma Villas Aubay Siena","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"616","ID_616","Men","Rugby XV","Europe","Italy","Fiamme Oro","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"617","ID_617","Men","Rugby XV","Europe","Italy","Mogliano Veneto Rugby","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"618","ID_618","Men","Rugby XV","Europe","Italy","Benetton Rugby","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"619","ID_619","Men","Rugby XV","Europe","Italy","Rugby Viadana","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"620","ID_620","Men","Rugby XV","Europe","Italy","Rugby Lyons Piacenza","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"621","ID_621","Men","Baseball","Asia","Japan","Saitama Seibu Lions","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"622","ID_622","Women","Football","Asia","Japan","INAC Kobe Leonessa","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"623","ID_623","Women","Football","Asia","Japan","AC Nagano Parceiro Ladies","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"624","ID_624","Men","Football","Africa","Kenya","Bandari FC","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"625","ID_625","Men","Football","Africa","Kenya","Kenya Commercial Bank SC","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"626","ID_626","Men","Football","Africa","Kenya","Nairobi City Stars","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"627","ID_627","Men","Football","Africa","Kenya","Sofapaka FC","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"628","ID_628","Men","Football","Africa","Kenya","Wazito FC","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"629","ID_629","Men","Baseball","Asia","Korea, Republic of","Samsung Lions","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"630","ID_630","Men","Football","Americas","Mexico","Club León","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"631","ID_631","Men","Football","Americas","Mexico","CD Guadalajara","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"632","ID_632","Men","Baseball","Americas","Mexico","Leones de Yucatán","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"633","ID_633","Women","Football","Americas","Mexico","Club León","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"634","ID_634","Men","Football","Africa","Morocco","Rapid Club oued ZEM","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"635","ID_635","Men","Football","Europe","Netherlands","RKC Waalwijk","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"636","ID_636","Men","Basketball","Europe","Netherlands","Aris Leeuwarden","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"637","ID_637","Women","Football","Europe","Netherlands","SC Telstar VVNH","Panthera leo","Species","Mammalia","Carnivora","Felidae","Panthera","Panthera leo",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
