ID;ID;Gender;Sport;Continent;Country;Club;Team logo;Team nickname;Trophic;Classification_Specific;Classification_General;Classification_Class;Classification_Order;Classification_Family;Classification_Genus;Classification_Species;Stadium;Location;Lat;Long;Capacity;N_Species_In_Country;EX;EW;CR;EN;VU;NT;LC;DD;NE;Decreasing;Increasing;Stable;Unknown
ID_63;63;Women;Basketball;Asia;Japan;Fujitsu Red Wave;Eagle;;Raptor;Accipitridae;Family;Aves;Accipitriformes;Accipitridae;NA;NA;Todoroki Arena;35.58772924699427, 139.64796611111822;35.58772924699427; 139.64796611111822;6500;22;NA;NA;NA;NA;3;3;16;NA;NA;11;1;8;2
ID_64;64;Men;Football;Africa;Kenya;Ulinzi Stars FC;Eagle;;Raptor;Accipitridae;Family;Aves;Accipitriformes;Accipitridae;NA;NA;Afraha Stadium;-0.2946046434198698, 36.07377837395716;-0.2946046434198698; 36.07377837395716;8200;59;NA;NA;4;5;4;5;41;NA;NA;30;5;24;NA
ID_65;65;Men;Basketball;Asia;Korea, Republic of;Changwon LG Sakers;Raptor;;Raptor;Accipitridae;Family;Aves;Accipitriformes;Accipitridae;NA;NA;Changwon Gymnasium;35.23293737847182, 128.66744329694137;35.23293737847182; 128.66744329694137;6000;21;NA;NA;NA;NA;3;2;16;NA;NA;10;1;8;2
ID_66;66;Men;Baseball;Asia;Korea, Republic of;Hanwha Eagles;Eagle;Eagle;Raptor;Accipitridae;Family;Aves;Accipitriformes;Accipitridae;NA;NA;Daejeon Hanbat Baseball Stadium;36.317384119901156, 127.42922475671328;36.317384119901156; 127.42922475671328;13000;21;NA;NA;NA;NA;3;2;16;NA;NA;10;1;8;2
ID_67;67;Men;Football;Americas;Mexico;Club América;NA;Eagle;Raptor;Accipitridae;Family;Aves;Accipitriformes;Accipitridae;NA;NA;Estadio Azteca;19.303184704222414, -99.15017365278116;19.303184704222414; -99.15017365278116;81070;37;NA;NA;NA;NA;1;3;33;NA;NA;18;10;7;2
ID_68;68;Men;Baseball;Americas;Mexico;El Águila de Veracruz;Eagle;Eagle;Raptor;Accipitridae;Family;Aves;Accipitriformes;Accipitridae;NA;NA;Estadio Universitario Beto Ávila;19.165653841539417, -96.12228006085472;19.165653841539417; -96.12228006085472;7319;37;NA;NA;NA;NA;1;3;33;NA;NA;18;10;7;2
ID_69;69;Women;Football;Americas;Mexico;Club América;;Eagle;Raptor;Accipitridae;Family;Aves;Accipitriformes;Accipitridae;NA;NA;Estadio Azteca;19.30302269821274, -99.1502809394153;19.30302269821274; -99.1502809394153;87000;37;NA;NA;NA;NA;1;3;33;NA;NA;18;10;7;2
ID_70;70;Men;Football;Africa;Morocco;Raja Club Athletic;Eagle;Eagle;Raptor;Accipitridae;Family;Aves;Accipitriformes;Accipitridae;NA;NA;Stade Mohamed V;33.58306181011223, -7.646143758393422;33.58306181011223; -7.646143758393422;45000;27;NA;NA;2;2;4;2;17;NA;NA;12;4;10;1
ID_71;71;Men;Football;Africa;Morocco;Difaa Hassani El Jadidi;Eagle;;Raptor;Accipitridae;Family;Aves;Accipitriformes;Accipitridae;NA;NA;Stade El Abdi;33.24165489183162, -8.492580140374645;33.24165489183162; -8.492580140374645;NA;27;NA;NA;2;2;4;2;17;NA;NA;12;4;10;1
ID_72;72;Men;Football;Europe;Netherlands;Go ahead Eagles;Eagle;Eagle;Raptor;Accipitridae;Family;Aves;Accipitriformes;Accipitridae;NA;NA;De Adelaarshorst;52.260037675373205, 6.173812938891697;52.260037675373205; 6.173812938891697;9909;23;NA;NA;NA;2;1;2;18;NA;NA;8;4;10;1
